INDEX,YEAR,MN,DT,MAX,MIN,AW,RF,EVP,DRNRF(hrs),DRNRF(mnts),SSH,TS,N,FFF,D,TOCSQ,DU,RA,DZ,SN,SL,HA,TH,DS,FG,GA,T,G,DUR,T,G,DUR,T,G,DUR,T,G,DUR,
42744,1991,1,1,20.8,5.7,2,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,2,20.2,5.7,3,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,3,19.6,5.9,6,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,4,21.1,7.1,6,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,5,23.6,9.1,3,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,6,25.1,10.4,4,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,7,27.4,12.2,2,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,8,25,11,2,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,9,24.8,11.6,3,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,10,24.2,11.7,4,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,11,24.8,11.5,3,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,12,25.3,9.7,2,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,13,24.6,10.2,3,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,14,24.6,10.2,6,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,15,24.2,9.6,9,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,16,24.9,9.5,3,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,17,25.5,10.2,6,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,18,26,11.5,8,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,19,23.4,10.1,7,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,20,24.2,10.1,7,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,21,25.6,10,6,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,22,24.8,11,2,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,23,29.6,12.6,3,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,24,30.8,13.5,2,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,25,31.6,14.3,1,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,26,32.5,16.4,1,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,27,34.1,17.2,1,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,28,34.5,15.8,1,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,29,34.2,15.7,1,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,30,32.8,14.5,1,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,1,31,31,13.5,2,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,2,1,30.2,14.5,1,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,2,2,30.6,11.8,3,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,2,3,28.5,14,2,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,2,4,28,15.5,1,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,2,5,29.3,15.5,5,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
42744,1991,2,6,29.2,14,2,0,   ,0,0,   ,  , ,   , ,    ,  ,0,0,0,0,0,0,0,0,0, , ,   , ,   ,  , , ,   , , ,   ,  
